,,,,
,,,,
,,TOPIC/INTENT,FACTUAL CONTEXT(THE ANSWER)),KEYWORDS/TAGS
,,Academic - Summary of Grades (SOG),"Ang SOG or Summary of Grades ay isang school document kung saan makikita lahat ng subjects na natapus at final grades. Kailangan mo mang kumuha ng SOG sa tuwing magpapa-evaluate ng prospectus dahil sa mga sumusunod: (1) huling trimester period mo na, (2) mag-aapply ng SIP/SAIP para sa OJT/Internship/Practicum, (3) graduating student na kailangan para sa graduation application, (4) transferee/second courser ka, o (5) kailangan mo sa trabaho, scholarship, and/or any legal matters. HINDI kailangan ang SOG para sa GRADES VERIFICATION OR COMPLETION. Ang grades verification or completion ay isang proseso para malaman mo ang dahilan na mababa, failed, drop or INC ang iyong marka or grade/s. Dito rin maaaring maayus ang grade/s mo ng ating Academic Affairs Office. Example: nagka-INC ka dahil maaaring wala kang pinakitang permit, kulang ng activities, hindi kumuha ng final exam o depende sa remarks na nasa record ng professor or instructor ; kung “5” or “FAILED” ka naman, makikita rin sa records mo ang dahilan or maaaring typographical error or mismatch ang grade mo sa portal at sa digital record data base ng mga grades from the old system na gamit ng school (backup files). Ikaw ay binibigyan din ng pagkakataon na magpakita ng proof kung sa tingin mo ay deserve mo ang masmataas na grades or pasado. Ang Academic Affairs office lamang po ang maaaring mag-approve at magbigay ng correction of grades dahil once encoded na ng iyong professor or instructor, hindi na po eto maaari nilang baguhin. HINDI rin po requirement ang FORM 137 or anu mang Admissions Documents para sa pagpapa-EVALUATE ng ating Prospectus. Ang hinihingan lang po ng FORM 137 or other Admissions Documents ay ang mga students na HINDI PA NILA NAPAPASA SA REGISTRAR OFFICE ang kanilang Form 137 or anumang nakitang kulang na Admissions Documents sa inyong student records / folder. Ang FORM 137 po ay nirerelease ng inyong SHS or HS kapag kayo ay officially enrolled na sa ICCT Colleges or anumang kolehiyo/unibersidad. Kung hindi mo pa eto nakuha sa dati mong SHS/HS, kailangan mong kumuha ng REQUEST LETTER for FORM 137 sa Admissions Office (Cainta) or Admissions Counter ng inyong Satellite Campuses. Ugaliin po natin na magtanung sa Registrar’s Office or Admissions Office at iwasan na sa group chat o sa classmate kumukuha ng instructions sa kadahilanang, ang bawat estudyante ay may kanya-kanya at ibat-ibang cases or sitwasyun pagdating sa school documents.","ano at para saan ang sog, summary of grades, kailan kailangan ang sog, ojt, job requirement, scholarship, grades verification, completion, failed grade, incomplete, typographical error, old system database, correction of grades, academic affairs office, form 137 requirements, request letter"
,,,,
,,Enrollment - Subject Adding Policies,"Ngayon Enlistment of Subjects / Enrollment period, maaari na po ninyong isabay ang pag-ADD ng subject/s during your COLLEGE and YEAR LEVEL Enlistment/Enrollment Schedule. Hindi na po allowed magpa-add ng subject/s once nag-umpisa na ang classes. Approval to ADD SUBJECT/S will also based from the following school policies and considerations: (1) Kung ang subject ay pre-requisite subject. (2) Kung ang subject/s ay offered or naka-open sa naturang trimester period. (3) Kung hindi ka pa lampas sa maximum number of units. (4) Kung ikaw ay magpapa-ADD ng subject/s at hindi pa officially enrolled or wala ka pang ORF, hindi kailangan magbayad ng Subject Adding Fee; maaari kang mag-enlist ng subject mula sa iyong STUDENT PORTAL otherwise, pumunta sa inyong campus para sa WALK-IN ENROLLMENT ASSISTANCE during your college schedule. (5) PERO kung ikaw ay officially enrolled na at generated na ang ORF: (5.1) Kailangan mong magbayad ng Subject Adding Fee na P50 per subject. (5.2) Maaaring magpa-add ng subject/s thru WALK-IN ENROLLMENT ASSISTANCE or tumawag sa PORTAL HOTLINES during your college schedule. (5.3) Kailangang ibigay or ipakita ang proof of payment para sa Subject Adding Fee. (5.4) Then, check your portal para sa NEW ASSESSMENT OF FEES, bayaran ang anu mang dagdag na fees lalo na kung ikaw ay nag-CASH BASIS para maiwasan na mabago ang computation ng inyong accounts. (5.5) I-download muli ang inyong UPDATED ORF","kailan pwedeng mag-add ng subject, subject adding rules, after generated orf, subject adding fee, 50 pesos fee, walk-in enrollment assistance, portal hotlines, prerequisites, cash basis modifications, updated orf"
,,,,
,,Portal - Download Prospectus Digital,"Para makapag-download ng inyong PROSPECTUS Digital Copy, mag log-in lamang po muna sa inyong Student Portal account. Piliin ang GRADES menu at pindutin ang EVALUATION button, then pindutin ang VIEW STUDENT EVALUATION then download and/or save it. Makikita mo sa LEFT most column ang grades ng bawat subjects na natapus mo na. Ang digital copy ng inyong prospectus ay magagamit para ma-monitor mo ang inyong academic standing, mga subjects na hindi mo pa nakukuha or need na i-retake. Eto rin ay kailangan mo tuwing enrolment period para may basis ang inyong Academic Heads or Advising Officer pagdating sa mga subjects na need mo i-enlist; magagamit din eto para sa approval ng inyong OJT/Practicum/Internship at Qualifying Examination application. Para sa anumang katanungan, maaari po tayong tumawag sa Student Portal Assistance Group: 0961.077.6611, 0939.806.8837, 0968.221.8530, 0955.125.0338, 0968.221.8531 or 0968.220.0486; Monday to Saturday except Wednesday, 8am to 12nn and 1pm to 5pm. Or simply tumawag lang po tayo sa ICCT Colleges Tele-Assistance Group: 0947.895.4228; 0932.872.4228; 0917.814.4228. NOTE: Kung kayo ay may student ID number prior sa school year 2020, maaaring hindi pa kumpleto or migrated ang inyong grades sa may evaluation or prospectus digital copy.","paano mag-download ng digital copy ng prospectus, student portal instructions, grades menu, evaluation button, view student evaluation, missing grades prior 2020, hotlines schedule"
,,,,
,,Portal - Missing Subjects or Slots,"Bakit po kulang ang subject/s na lumalabas sa aking REGISTRATION during enrollment? (1) Maaaring NO SLOTS na po ang ibang subject/s ng napili nating SECTION; sa may SECTION OFFERING ng gating student portal, makikita po natin ang mga list of sections and subjects kung saan NO SLOTS na po at iwasan ng piliin. (2) Kapag ang isang subject mo ay may PREREQUISITE subject at FAILED, 5, NO GRADES, INC or NEXP ang iyong grade/s, otomatiko po na hindi ma-enlist ang naturang prerequisite subject. (3) Ugaliin na i-download ang TCS after na mag SAVE ASSESSMENT para ma-check mong mabuti na complete ang subjects enlisted. Kapag nabawasan, maaari mong ipa-add ang subject or ipa-delete lahat ng enlisted subjects para makapili ng bagong section. For Student Portal Assistance, please call: 0961.077.6611, 0939.806.8837, 0968.221.8530, 0955.125.0338, 0968.221.8531 or 0968.220.0486; Monday to Saturday except Wednesday, 8am to 12nn and 1pm to 5pm; strictly ACCEPT CALLS ONLY for issues and concern about Online Student Portal; telephone handset used for this service is NOT capable to accept and reply text messages. Currently hindi pa po umiiral ang 48 hours deletion ng TCS, manual pa rin po ang deletion ng mga enlisted subjects or TCS. Bago mag-delete ang Portal Group, nagbibigay ng anunsyo sa official facebook account ng school para mapagbigyan ang mga students ng panahon para mabayaran kahit down payment at magenerate ang kanilang Official Registration Form (ORF). Maaari mong tignan sa iyong ACCOUNTS LEDGER, kung ang naturang semester or trimester period ay merong AMOUNT tugma sa Assessment na nasa TCS, it means, meron kang ACTIVE TCS. Or even sa inyong Online Payment, makikita rin doon ang Full Payment or Down Payment. Ika nga, nag-aantay lang mabayaran mo na ang Full Amount or at least DP.","bakit kulang ang subjects sa registration, no slots, section offering, prerequisite block, failed, inc, nexp, missing slot error, manual tcs deletion, accounts ledger active tcs, portal hotline limitations"
,,,,
,,Portal - Unreflected Fees Process,"After mag-enlist ng subjects sa aking portal, anu po ang dapat gawin kung hindi po nag-reflect ang total fees sa aking Student Ledger, at wala rin po sa online payment modules? Kung hindi po nag-reflect ang fees sa inyong ACCOUNTS – Student Ledger at sa Online Payment modules, ibig sabihin, hindi po natin successfully natapus ang ENLISTMENT of SUBJECTS/SECTION. After na mag-enlist at save, dapat pong pindutin ang ASSESSMENT button; uncheck ang Online Class button kung kayo ay LF Classes, then pumili ng MODE OF PAYMENTS – Full Payment, Full Payment with Discount or Enlistment/Installment, saka pindutin ang SAVE ASSESSMENT button. I-click ang button para sa Tentative Class Schedule & Assessment para ma-download ang TCS. Sa makatuwid, kailangang mong ulitin o gawin ang ASSESSMENT OF FEES process lalo na ang pag-pili para sa Mode of Payment at huwag kalimutag pindutin ang Save Assessment button. Ang processing na eto ay magagawa mo lamang hangat enrolment schedule ng inyong kolehiyo and/or year level otherwise, need mo ng tumawag sa Portal Hotlines 0961.077.6611, 0939.806.8837, 0968.221.8530, 0955.125.0338, 0968.221.8531 or 0968.220.0486; o d kaya mag WALK-IN sa inyong Portal Assistance Hub.","hindi nag-reflect ang total fees sa student ledger, online payment modules error, save assessment process, lf classes configuration, mode of payment selection, download tcs, hotline support"
,,,,
,,Enrollment - Downpayment & Diagnostic Fee,"Bilang 1st year student ngayong 2nd trimester period, para makapag enrol, magkanu po ang tamang downpayment for instalment basis? Ang minimum downpayment amount for instalment basis ng isang 1st year 2nd trimester student ay P1,030 plus P400 Health Diagnostic Fee; total downpayment (DP) of P1,430. Makikita po ang amount na eto kung kayo ay successful na nag-enlist ng subjects, at nag-assessment of fees – nakapili ng mode of payments and SAVE ASSESSMENT. Kung hindi lumabas ang P1,430 total of DP, it means, hindi nag-otomatikong update ang inyong profile sa portal. Para ma-update, pumunta sa Profile at siguraduhin nasa AY2025-2026 ang tuition fee year at ang inyong status ay “Continuing” then siguraduhin na iclick ang SAVE APPLICATION button na nasa step 4 ng Profile, then click OK to confirm; after this, pumunta ulit sa Registration at ulitin ang ASSESSMENT PROCESS ng inyong fees at i-download ang inyong Tentative Class Schedule (TCS). Ugaliin na i-check kung tama ang mga subjects enlisted mula sa inyong PROSPECTUS. Ang Health Diagnostic Fee naman po ay para sa lahat ng 1st year students kung saan mag-undergo po tayo ng Xray, Eye Check-up and Urinalysis during this 2nd trimester period. Magkakarun ng schedule ang bawat sections and campuses under DCLC Healthcare & Diagnostic Center. Sinasagawa po ang programa na eto para magkarun ng medical record ang mga students sa ating school clinic at magabayan ang sinumang student na nangangailangan ng medical attention or even maiwasan ang kumplikasyun at makahawa sa kapwa students.","magkano ang downpayment, installment basis, 1st year 2nd trimester fees, 1430 pesos, profile update guide, health diagnostic fee, xray, eye check-up, urinalysis, dclc diagnostic center"
,,,,
,,Accounting - Previous Balance Reference,"Paano po mag-settle ng accounts or unpaid balances from previous trimester/semester period? Kapag ang trimester or semester period ay naka-CLOSE na po at naka-OPEN naman na ang REGISTRATION for the upcoming trimester or semester period, MAAARI PA RUN TAYONG MAG-GENERATE NG REFERENCE NUMBER for paying thru GCash, ECPay and 7Eleven CLIQQ. (1) Sa inyong Student Portal, i-click ang ACCOUNTS menu. (2) Mula sa Student Ledger / Transaction, pindutin ang trimester/semester period at year level kung saan meron po kayong unsettled amounts. (3) At saka pindutin ang button ng Online Payment. Otherwise, maaari nating i-settle thru Over-the-Counter Payment - Cebuana Lhuillier, MLhuillier at Philippine Business Bank; gamitin ang inyong Student ID Number at lagyan ng payment code “AR” sa dulo; example CA202012345AR. Ang code na “AR” ay para alam ng teller na ang binayaran mong fees ay para ma-settle ang iyong balances from previous academic term. Para sa anumang katanungan ng inyong ACCOUNTS, maaari po tayong tumawag sa ACCOUNTING OFFICE sa telepono (02)7001.4228 local 607 or magmensahe sa email accounting@icct.edu.ph. Reminder lang po, kapag nagbayad thru Over-the-Counter, 2 to 3 working days bago mag-reflect sa inyong accounts ledger ang binayad. Itago ang proof of payment for future references.","paano magbayad ng utang sa tuition, previous balance settlement, unpaid balances, online reference number generation, cebuana code ar, mlhuillier ar, accounting office contact, local 607"
,,,,
,,Accounting - Realtime Glitches Help,"Paano po ang gagawin kapag nagbayad thru REALTIME payments tulad ng GCash, ECPay, PalawanPay or 7Eleven at hindi otomatikong nag-reflect ang payment amount sa aking ledger? Ang REALTIME payments ay isang pamamaran ng pagbabayad kung saan otomatikong mag-reflect ang amount paid sa inyong Accounts – Student Ledger; makakatangap agad ng notification from ICCT Info text message confirming that your payments has been process. Maaari lamang po tayong magbayad thru REALTIME payments kung thru GCash, ECPay, PalawanPay at 7Eleven gamit ang generated REFNUM mula sa inyong Student Portal. May mga pagkakataon na hindi nag-otomatik REFLECT ang iyong payments from GCASH, ECPAY, 7ELEVEN/CLIQQ and PALAWAN PAY despite na may notification that your payment is on process or successful. Hindi maiiwasan ang mga glitches dahil sa sabay-sabay na pag-gamit ng digital services, fluctuating internet signal, issues from the payment gateways, etc.. Ang maaaring gawin ay i-report po eto agad sa HELP DESK or CUSTOMER SERVICE ng inyong Online/Realtime Payment (ORP) Service Providers. After 3 to 5 banking days at wala pa pong update mula sa inyong ORP service provider, i-report sa Accounting Office or call the Tele-Assistance Group 0947.895.4228; 0932.872.4228; 0917.814.4228","gcash payment error, realtime payment glitch, customer service report, refnum issues, 3 to 5 banking days rule, accounting office validation, tele-assistance telephone directories"
,,,,
,,Accounting - Over-The-Counter Bank Codes,"Kung sa CEBUANA, MLHUILLIER, PBB at UNIONBANK po mag- babayad, anung RefNum / Reference Number ang dapat gamitin? Kapag tayo ay magbabayad thru OVER THE COUNTER PAYMENT TRANSACTIONS tulad Cebuana, MLhuiller, Philippine Business Bank at Unionbank, ang gagamitin na reference number ay ang inyong APPLICATION NO. or STUDENT ID NO. lang po. Lagyan ng PAYMENT CODE sa dulo ng inyong Application No. or Student ID No. para masmadaling ma-identified ng teller kung para saan ang inyong binabayaran. Example: (1) CA2425A12345AF – application number na binabayaran ang Application Fee (AF). (2) CA2425A12345DP – new student na nagbabayad ng kanyang Down Payment (DP) para magenerate ang kanyang Student ID No. at Official Registration Form (ORF). (3) CA202401234FP – student na gustong bayaran ang Full Payment (FP) ang lahat ng kanyang total fees. (4) CA202304321DP – continuing student na nagbababayd ng kanyang DP. Lahat ng payments from OVER THE COUNTER ay aabutin po eto ng 2 to 3 working days bago mag-reflect sa ating Student Portal – Ledger. Kung sakali na nagkamali po tayo, i-report na lamang po eto at ipakita ang proof of payment sa inyong Campus para maiayus agad. Huwag na po nating ipa-cancel or pullout ang binayad para maiwasang mag-cancel ng OR numbers generated. Tandaan po natin na ang RefNum generated from your Student Portal ay para lamang sa REAL-TIME PAYMENT APPS tulad ng GCash, ECpay, PalawanPay at 7Eleven Stores","over the counter references, payment codes list, af application fee, dp downpayment, fp full payment, bank delays, error handling, reference code mistakes, validation rules"
,,,,
,,Academic - BSHM Curriculum Bridging,"Anu po ang pagkakaiba ng salitang BPHK01 Housekeeping NCII at HPELE10 Housekeeping Operations sa BSHM at BSHM-B Curriculum? Kung ang isang student ay graduate ng SHS under Academic Track - ABM Strand at mag-enroll sa kursong BSHM sa ICCT Colleges, otomatikong HINDI mo kailangang kunin ang BRIDGING PROGRAM. Regular BSHM curriculum po ang iyong gagamitin at nakapaloob na regular subject ang HPELE01 Housekeeping Operations Lecture at Laboratory (3+1 units) – fourth year level (first trimester period). Pero kung ang isang student ay nakapagtapus ng HS (old basic education program), ALS Passer, graduate ng SHS Academic Track na STEM, HUMSS o GA, graduate ng SHS Sports Track or Arts & Design Track, at SHS TechVoc Livelihood Track, REQUIRED po tayong kunin ang Bridging Subjects na nakapaloob under the BSHM-B Curriculum. Ang BPHK01 Housekeeping NCII Lecture & Lab (3+1 units) na nasa 1st year level – third trimester period ay kailangan nating makuha at ipasa; at gayundin ang REGULAR SUBJECT na HPELE01 Housekeeping Operations Lecture at Laboratory (3+1 units) – fourth year level (first trimester period). Maaari po tayong sumanguni sa ating mga Academic Department Coordinators and College Deans, or sa inyong Campus Coordinator and/or Academic Coordinators para ma-guide po tayo ng tama at maiwasan ang maling inpormasyun","bshm bridging program, bshm-b curriculum requirements, abm exemption, housekeeping ncii, hpele01, bphk01, non-abm bridging rules, old high school curriculum, als passers, academic deans"
,,,,
,,Academic - Prerequisite Definitions,"Ang PREREQUISITE sa Tagalog ay nangangahulugang ""paunang kinakailangan"" o ""unang dapat matugunan bago magpatuloy"" sa isang bagay. Ito ay isang kundisyon o rekisito na kailangang matupad muna bago gawin o makuha ang isang bagay. Halimbawa sa edukasyon: (1) Bago makuha ang Subject002, kailangang naipasa or pasado na po tayo sa Subject001 dahil ito ang prerequisite ng Subject002. (2) Upang makapag-enroll sa isang advanced mathematics course, kailangang maipasa muna ang basic mathematics course bilang prerequisite nito. (3) Kung ang grade mo sa Fil01 ay FAILED, DRP, UW, NEXP, INC or blank, hindi mo rin maaaring i-enlist/enrol ang Fil02 na subject dahil ang prerequisite nito ay Fil01. Ibig sabihin, ang prerequisite ay isang paunang hakbang o kailangan munang makumpleto bago makapagpatuloy sa susunod na antas o proseso. Kaya during enrolment, hindi sumasama ang ibang subject/s sa inyong ENLISTMENT or TCS dahil maaaring ang PREREQUISITE SUBJECT sa previous period ay walang grade, failed, INC or NEXP. Sa ganitong sitwasyun, pinapayuhan ang student na mag-WALKIN ENROLL para magpa-assist sa ADVISING or ADDING SUBJECT section.","ano ang ibig sabihin ng prerequisite, paunang kinakailangan, failed prerequisite blocks, missing tcs course error, fil01 and fil02 logic examples, walkin advising support"
,,,,
